"Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Rope and People, I","Joan MirÃ³","4016","(Spanish, 1893â€“1983)","(Spanish)","-1893","-1983","(Male)","Barcelona, March 27, 1935","Oil on cardboard mounted on wood, with coil of rope","41 1/4 x 29 3/8"" (104.8 x 74.6 cm)","Gift of the Pierre Matisse Gallery","71.1936","Painting","Painting & Sculpture","########","Y","33621","http://www.moma.org/collection/works/33621","http://www.moma.org/media/W1siZiIsIjE2MDU0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bda8976e9be36136","","","","104.8","","","74.6","",""
"Fire in the Evening","Paul Klee","3130","(German, born Switzerland. 1879â€“1940)","(German)","-1879","-1940","(Male)","1929","Oil on cardboard","13 3/8 x 13 1/4"" (33.8 x 33.3 cm)","Mr. and Mrs. Joachim Jean Aberbach Fund","153.197","Painting","Painting & Sculpture","########","Y","34854","http://www.moma.org/collection/works/34854","http://www.moma.org/media/W1siZiIsIjE3Njc2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c57b375807d1f87","","","","33.8","","","33.3","",""
"Portrait of an Equilibrist","Paul Klee","3130","(German, born Switzerland. 1879â€“1940)","(German)","-1879","-1940","(Male)","1927","Oil and collage on cardboard over wood with painted plaster border","24 7/8 x 15 3/4"" (63.2 x 40 cm)","Mrs. Simon Guggenheim Fund","195.1966","Painting","Painting & Sculpture","########","Y","35209","http://www.moma.org/collection/works/35209","http://www.moma.org/media/W1siZiIsIjE3OTI4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=580fa5bb76eff44f","","","","60.3","","","36.8","",""
"Guitar","Pablo Picasso","4609","(Spanish, 1881â€“1973)","(Spanish)","-1881","-1973","(Male)","Paris, early 1919","Oil, charcoal and pinned paper on canvas","7' 1"" x 31"" (216 x 78.8 cm)","Gift of A. Conger Goodyear","384.1955","Painting","Painting & Sculpture","########","Y","36613","http://www.moma.org/collection/works/36613","http://www.moma.org/media/W1siZiIsIjUxNjY3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dba4757e2ea3cf89","","","","215.9","","","78.7","",""
"Grandmother","Arthur Dove","1602","(American, 1880â€“1946)","(American)","-1880","-1946","(Male)","1925","Shingles, needlepoint, page from Concordance, pressed flowers and ferns mounted on cloth-covered wood","20 x 21 1/4"" (50.8 x 54.0 cm)","Gift of Philip L. Goodwin (by exchange)","636.1939","Painting","Painting & Sculpture","########","Y","37674","http://www.moma.org/collection/works/37674","http://www.moma.org/media/W1siZiIsIjI0NzA5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=093d454bd551973d","","","","50.8","","","54","",""
"""M'Amenez-y""","Francis Picabia","4607","(French, 1879â€“1953)","(French)","-1879","-1953","(Male)","Paris, November 1919 - January 1920","Oil and enamel paint on cardboard","50 3/4 x 35 3/8"" (129.2 x 89.8 cm)","Helena Rubinstein Fund","1309.197","Painting","Painting & Sculpture","########","Y","38561","http://www.moma.org/collection/works/38561","http://www.moma.org/media/W1siZiIsIjMzNjY1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f29d885c0b373bbd","","","","129.2","","","89.9","",""
"Untitled","Blinky Palermo","4474","(German, 1943â€“1977)","(German)","-1943","-1977","(Male)","1970","Dyed cotton mounted on muslin","6' 6 3/4"" x 6' 6 3/4"" (200 x 200 cm)","Gift of Jo Carole and Ronald S. Lauder","650.1997","Painting","Painting & Sculpture","########","Y","78283","http://www.moma.org/collection/works/78283","http://www.moma.org/media/W1siZiIsIjE1MTQ0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=183105a88622f704","","","","200","","","200","",""
"Daylight Savings Time","Pierre Roy","5065","(French, 1880â€“1950)","(French)","-1880","-1950","(Male)","1929","Oil on canvas","21 1/2 x 15"" (54.6 x 38.1 cm)","Gift of Mrs. Ray Slater Murphy","1.1931","Painting","Painting & Sculpture","########","Y","78294","http://www.moma.org/collection/works/78294","http://www.moma.org/media/W1siZiIsIjIzMzkzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96820bf47e072d6c","","","","54.6","","","38.1","",""
"The Bather","Paul CÃ©zanne","1053","(French, 1839â€“1906)","(French)","-1839","-1906","(Male)","c. 1885","Oil on canvas","50 x 38 1/8"" (127 x 96.8 cm)","Lillie P. Bliss Collection. Conservation was made possible by the Bank of America Art Conservation Project","1.1934","Painting","Painting & Sculpture","########","Y","78296","http://www.moma.org/collection/works/78296","http://www.moma.org/media/W1siZiIsIjQ0NjA2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9242de31ff2c065c","","","","127","","","96.8","",""
"Syntheses of Naples","Enrico Prampolini","4720","(Italian, 1894â€“1956)","(Italian)","-1894","-1956","(Male)","before 1930","Oil on canvas","39 3/8 x 39 1/2"" (100 x 100.3 cm)","Gift of Dr. Julius Spitzer","1.1942","Painting","Painting & Sculpture","########","Y","78299","http://www.moma.org/collection/works/78299","http://www.moma.org/media/W1siZiIsIjE4NjgzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bccf9bc277ee280e","","","","100","","","100.3","",""
